method,split,layer,top1,top5,mrr
mean_subtoken_embedding,test,7,0.009765625,0.05859375,0.05297975379961712
explicit_final_subtoken_embedding,test,7,0.109375,nan,nan
implicit_token_lens,validation,8,0.16796875,0.25390625,0.2200442976442447
ridge_to_final_implicit_lens,validation,8,0.0546875,0.12109375,0.10465675896371489
raw_final_prototype,validation,8,0.03515625,0.12109375,0.09457235857835494
mean_subtoken_embedding,validation,8,0.00390625,0.04296875,0.04314789799906671
explicit_final_subtoken_embedding,validation,8,0.07421875,nan,nan
implicit_token_lens,test,8,0.150390625,0.2421875,0.20574965794655362
ridge_to_final_implicit_lens,test,8,0.03515625,0.103515625,0.0864797329453365
raw_final_prototype,test,8,0.029296875,0.10546875,0.08429638185721436
mean_subtoken_embedding,test,8,0.01953125,0.0625,0.05882716126992944
explicit_final_subtoken_embedding,test,8,0.111328125,nan,nan
implicit_token_lens,validation,9,0.16015625,0.2421875,0.2151927329653342
ridge_to_final_implicit_lens,validation,9,0.0546875,0.12109375,0.10312983827387406
raw_final_prototype,validation,9,0.04296875,0.1328125,0.10239771401519315
mean_subtoken_embedding,validation,9,0.00390625,0.05078125,0.04655323635502964
explicit_final_subtoken_embedding,validation,9,0.0703125,nan,nan
implicit_token_lens,test,9,0.142578125,0.23828125,0.20361508792437527
ridge_to_final_implicit_lens,test,9,0.03515625,0.107421875,0.0863773933808256
raw_final_prototype,test,9,0.02734375,0.109375,0.08473560389116527
mean_subtoken_embedding,test,9,0.013671875,0.068359375,0.058246986903617945
explicit_final_subtoken_embedding,test,9,0.111328125,nan,nan
implicit_token_lens,validation,10,0.1640625,0.23828125,0.2202341490160292
ridge_to_final_implicit_lens,validation,10,0.0546875,0.1171875,0.10369310781248137
raw_final_prototype,validation,10,0.03515625,0.140625,0.10204951882074711
mean_subtoken_embedding,validation,10,0.01953125,0.046875,0.05643671373875457
explicit_final_subtoken_embedding,validation,10,0.08984375,nan,nan
implicit_token_lens,test,10,0.14453125,0.23828125,0.2035406901011133
ridge_to_final_implicit_lens,test,10,0.03515625,0.1015625,0.08504208745060166
raw_final_prototype,test,10,0.029296875,0.1015625,0.08328800693039959
mean_subtoken_embedding,test,10,0.01171875,0.052734375,0.05330125556788083
explicit_final_subtoken_embedding,test,10,0.09765625,nan,nan
implicit_token_lens,validation,11,0.16015625,0.25,0.21899069470358218
